threshold,nodes,edges,density,average_degree,components,largest_component,giant_fraction,clustering,average_path_length,diameter,er_clustering_mean,er_clustering_std,er_path_length_mean,er_path_length_std,er_giant_fraction_mean,er_giant_fraction_std
0.0,86,3655,1.0,85.0,1,86,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.05,86,3394,0.9285909712722298,78.93023255813954,1,86,1.0,0.9356456787902959,1.0714090287277702,2.0,0.9292185944518259,0.004790370307128246,1.070796169630643,0.004788371293795229,1.0,0.0
0.1,86,3103,0.8489740082079343,72.16279069767442,1,86,1.0,0.8846046216869694,1.1510259917920658,2.0,0.8497428534275636,0.006194394126183497,1.1502571819425444,0.0061250105576132535,1.0,0.0
0.15,86,2786,0.7622435020519835,64.79069767441861,1,86,1.0,0.8355935459135443,1.2377564979480165,2.0,0.7625716008651661,0.006779114753971575,1.237452804377565,0.006623202897972436,1.0,0.0
0.2,86,2375,0.6497948016415869,55.23255813953488,1,86,1.0,0.7691135943760399,1.3507523939808481,3.0,0.6505515527448295,0.007323283930903408,1.3494664842681257,0.0068669780444372075,1.0,0.0
0.25,86,1938,0.5302325581395348,45.06976744186046,1,86,1.0,0.7079152991596623,1.4801641586867305,3.0,0.5312374789333204,0.00854715186337483,1.4686593707250342,0.007928237195244398,1.0,0.0
0.3,86,1498,0.4098495212038304,34.83720930232558,1,86,1.0,0.6280848774921797,1.6533515731874144,4.0,0.4120889608375993,0.007999818900608606,1.5882298221614226,0.00735860933821386,1.0,0.0
0.35,86,1033,0.2826265389876881,24.023255813953487,2,85,0.9883720930232558,0.5103142051593939,1.857703081232493,6.0,0.2845983998181265,0.009499392125713064,1.7158084815321475,0.007770956204631821,1.0,0.0
0.4,86,637,0.17428180574555405,14.813953488372093,7,79,0.9186046511627907,0.4176122265432273,1.9944823109380072,4.0,0.17616967562282937,0.009623924331688662,1.8822489740082082,0.019485457864468713,1.0,0.0
0.45,86,348,0.09521203830369357,8.093023255813954,11,76,0.8837209302325582,0.27750339526768786,2.3708771929824564,5.0,0.09480865527301555,0.0122817962967696,2.3303545697348707,0.04525095477805135,0.9996511627906978,0.0019835723382827927
0.5,86,169,0.04623803009575923,3.9302325581395348,25,62,0.7209302325581395,0.24147602283717184,2.766261237440508,6.0,0.04255364790248512,0.017078148334760925,3.3082610799443852,0.15342618589443652,0.9803488372093021,0.01574669349000089
0.55,86,61,0.016689466484268126,1.4186046511627908,44,41,0.47674418604651164,0.1168327796234773,3.5768292682926828,7.0,0.007547895902547065,0.011489257129363939,5.613239787002792,1.1288442909051875,0.5131395348837209,0.16338475495085686
0.6,86,9,0.0024623803009575923,0.20930232558139536,77,4,0.046511627906976744,0.0,1.6666666666666667,3.0,0.0,0.0,1.385333333333333,0.27512906062428233,0.037558139534883725,0.010765080860241059
0.65,86,4,0.001094391244870041,0.09302325581395349,82,3,0.03488372093023256,0.0,1.3333333333333333,2.0,0.0,0.0,1.1292517006802723,0.18059270683616713,0.027558139534883716,0.00690956024034678
0.7,86,1,0.00027359781121751026,0.023255813953488372,85,2,0.023255813953488372,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.01895348837209302,0.00561400358352247
0.75,86,1,0.00027359781121751026,0.023255813953488372,85,2,0.023255813953488372,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.01895348837209302,0.00561400358352247
0.8,86,0,0.0,0.0,86,1,0.011627906976744186,0.0,,,0.0,0.0,,,0.011627906976744186,0.0
0.85,86,0,0.0,0.0,86,1,0.011627906976744186,0.0,,,0.0,0.0,,,0.011627906976744186,0.0
0.9,86,0,0.0,0.0,86,1,0.011627906976744186,0.0,,,0.0,0.0,,,0.011627906976744186,0.0
